Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Invierno,Laborable,Adelantamiento improcedente,Mati,Colision lateral,Motocicleta,Home,[34;50]
Verano,Laborable,Manca d'atencio a la conduccio,Mati,Atropellament,Motocicleta,Dona,[18;33]
Verano,Laborable,Altres,Tarda,Altres,Turisme,Dona,[34;50]
Verano,Laborable,Manca d'atencio a la conduccio,Tarda,Colision frontal,Motocicleta,Home,[18;33]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Atropellament,Motocicleta,Home,[18;33]
Invierno,Laborable,Desobeir samoforo,Nit,Colision fronto-lateral,Motocicleta,Home,[34;50]
Primavera,No laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Dona,[34;50]
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[51;70]
Otono,No laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Caiguda (dues rodes),Veh. Mobilidad personal con o sin motor,Home,[18;33]
Verano,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33]
Otono,No laborable,Altres,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Otono,Laborable,Manca d'atencio a la conduccio,Nit,Colision fronto-lateral,Motocicleta,Home,[18;33]
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33]
Otono,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Motocicleta,Home,[34;50]
Invierno,Laborable,No cedir la dreta,Mati,Colision frontal,Motocicleta,Home,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Xoc contra element estatic,Furgoneta,Home,[51;70]
Invierno,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[34;50]
Verano,No laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Abast multiple,Turisme,Home,[51;70]
Verano,No laborable,Manca precaucio efectuar marxa enrera,Tarda,Abast,Motocicleta,Home,[34;50]
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Abast multiple,Turisme,Home,[18;33]
Verano,No laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[34;50]
Otono,No laborable,No cedir la dreta,Mati,Colision fronto-lateral,Motocicleta,Home,[51;70]
