Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad,Barrio
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33],la Nova Esquerra de l'Eixample
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50],la Dreta de l'Eixample
Invierno,Laborable,Adelantamiento improcedente,Mati,Colision lateral,Motocicleta,Home,[34;50],la Nova Esquerra de l'Eixample
Verano,Laborable,Manca d'atencio a la conduccio,Mati,Atropellament,Motocicleta,Dona,[18;33],la Nova Esquerra de l'Eixample
Verano,Laborable,Altres,Tarda,Altres,Turisme,Dona,[34;50],el Baix Guinardo
Verano,Laborable,Manca d'atencio a la conduccio,Tarda,Colision frontal,Motocicleta,Home,[18;33],les Corts
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Atropellament,Motocicleta,Home,[18;33],la Dreta de l'Eixample
Invierno,Laborable,Desobeir samoforo,Nit,Colision fronto-lateral,Motocicleta,Home,[34;50],el Barri Gotic
Primavera,No laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Dona,[34;50],la Maternitat i Sant Ramon
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[51;70],Navas
Otono,No laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50],Sant Gervasi - la Bonanova
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Caiguda (dues rodes),Veh. Mobilidad personal con o sin motor,Home,[18;33],Sarria
Verano,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33],Sarria
Otono,No laborable,Altres,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33],la Font d'en Fargues
Otono,Laborable,Manca d'atencio a la conduccio,Nit,Colision fronto-lateral,Motocicleta,Home,[18;33],la Dreta de l'Eixample
Verano,Laborable,Gir indegut o sense precaucio,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33],Sant Gervasi - Galvany
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33],el Raval
Otono,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33],la Dreta de l'Eixample
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Motocicleta,Home,[34;50],el Bon Pastor
Invierno,Laborable,No cedir la dreta,Mati,Colision frontal,Motocicleta,Home,[34;50],la Maternitat i Sant Ramon
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Xoc contra element estatic,Furgoneta,Home,[51;70],Sant Gervasi - la Bonanova
Invierno,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[34;50],el Bon Pastor
Verano,No laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33],l'Antiga Esquerra de l'Eixample
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Abast multiple,Turisme,Home,[51;70],el Fort Pienc
Verano,No laborable,Manca precaucio efectuar marxa enrera,Tarda,Abast,Motocicleta,Home,[34;50],la Dreta de l'Eixample
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Abast multiple,Turisme,Home,[18;33],el Poble-sec
Verano,No laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[34;50],les Corts
Otono,No laborable,No cedir la dreta,Mati,Colision fronto-lateral,Motocicleta,Home,[51;70],la Dreta de l'Eixample
Otono,Laborable,No determinada,Tarda,Abast,Motocicleta,Dona,[18;33],la Dreta de l'Eixample
Otono,Laborable,Altres,Tarda,Atropellament,Motocicleta,Home,[34;50],Sant Andreu
Invierno,Laborable,No cedir la dreta,Mati,Colision fronto-lateral,Turisme,Dona,[51;70],el Barri Gotic
